sanatci,soz
Tepki,susun bitin iten geçer gider neden yeter.ritim biter bütün keder geçer kötü düşünceler.ve gam bu kan bu ter yatak bıçak kaçar zaman.uçar utan zehir bu tam erir beden bi ben kalır geri.neden miydim ipleri geren nerdeydi yüzleri hani.var mıydı aslını bilen ya yoksun kalmadı tabii.adileşmeden olmuyo di mi tep kimi kokokorkuyor.kimi de bana bas bas bağırıyo geriden bıktım lan laftan çeneden.hayk tyson hahahayk tyson mimimictaysa kork.hep lay laysın hep like like motherfuckin die die.sıkıcı hayatım yeterince  yeterince yaşa yeterince .kimsede bulamam bitirince bu bitecek aklımı yitirince.ne mi lazım rap ne mi lazım hayk ne mi lazım tep.kovalarsın hep yorulur durmaz kovalarsın hep.çalışır çabalar saçmalarsın her şeyi unutup ertelersin.ve kalırsın tek o zaman karalarsın rap.herkese gerdiler bi maske.her günün her gecen de kasvet.çöl gibi her tarafta akrep.her yeri sardı bak bu lanet.i̇nadına çığlık at bi daha rap.i̇nadına çığlık at bi daha rap.i̇nadına çığlık at bi daha rap.her kolonda hayk tep.herkese gerdiler bi maske.her günün her gecen de kasvet.çöl gibi her tarafta akrep.her yeri sardı bak bu lanet.i̇nadına çığlık at bi daha rap.i̇nadına çığlık at bi daha rap.i̇nadına çığlık at bi daha rap.her kolonda hayk tep
Tepki,hayatım zor basamak.hayatım tonla para.duygu atlasın oldu ve aldın onca yara.bi yanda hayallerin diğerinde zorlamalar.başarmak zordu şampiyon.kimseden korkmasa da.şartların saatlere tutsak.ne kadar safsak kader bi o kadar kurnaz.i̇stesem bile saat keyfin için durmaz.her sabah uyanırsın o beklesen de susmaz.ömründen bi gün daha eksilir.ölmek istersin ama geçmişin artık eskidir.hayallerin bulutlar sevdiklerin mabedin.üzülme kaderim bu gezegenin laneti.kabullendin bu çoğunun kaderi.yer küre kiminin cenneti kiminin kafesi.kiminin neşesi kiminin ateşi.kiminin mağlubiyeti kiminin zaferi.hayatın hepimize bi sürprizi var.bu yüzden asla deme asla.bunca mücadelenin ne anlamı var.bu yüzden asla deme asla.kaderin arkamızda bi planı var.bu yüzden asla deme asla.sadece mutlu olduğum günleri say.bu yüzden asla deme asla
Tepki,hani böyle nefes alamazsın ya bütün dünya üstüne gelir.tep.yıkılır göğüs kafesim kesilir bütün nefesim.kalmadı başka hevesim.bugünüm yok yarınım yok.yıkılır göğüs kafesim kesilir bütün nefesim.kalmadı başka hevesim.bugünüm yok yarınım yok .bugünüm yok yarınım yok .bugünüm yok yarınım yok .bugünüm yok yarınım yok .bugünüm yok yarınım yok.deme olmaz ateşle barut.dile tanrıdan tek bi dilek.yum gözünü usulca sokul.oluruz havai fişek.yanmışız fark etmez ki bize itfaiye bile.sanki aralıkın yirmi biri.seninle yaşadığım her bi gece
Tepki,sokak evim sanki basquiatın bi tablosu tep.seni öldürüyo bana yara verir.kurşun gibi dosta makaveli tep.durma poz ver sikik sedyenden.bahsetme adaletten.sana şişeler geceler ojeler.mahallemde yalnız hayaletler.yine aklımda pac biggie.18de ölüyolar aşk gibi.şurda şunu seviyoruz kaç kişi.rapçilerin bu aralar rast işi.caddelere dönüyoruz tilki gibi kürkçü dükkanına esir oluyoruz.stüdyoda gece gündüz yak pişir.sor şimdi hiphop öldüyse hangimizdi söyle onun katili.gözlerim eski günleri özler.ateşimi söndürüyo közler.ruhum buna esir oluyo sanki tepkiden uzun yaşıyo bütün kelebekler.sıkılmadım inan denemekten.gecelerim günlerime denkken.söyle tanrım bu nasıl bi denklem.dostlarımdan uzun yaşar bütün kelebekler.anlamıyo onlar .bize mutlu sonlar.güneş olur her yer.bize sabah olmaz.huzur kara borsa.tabi para bolsa.bizi bulur her şey.evim karakollar
Tepki,seni sahte profil.tüm hayatım hiphopunuza çok iyi.dinlerim boeb.size mal denir emin ol kro değil.promil karışınca kana beni sıkıysa yakala.elim yapışır yakana dilim bi kanlı katana.tep famous hem de iki yakada.süperstar olur etrafta varsa iki yalaka.yes üzgünüm durum bu.dinleyen her icracının ağzı burnu buruştu.nedir hedefin rapin sadece 3 kuruşluk .ve dinleyicilerin yalnız ucuzcu.kısaca dev bir balondan ibaret.sana en büyük günah müzik bana ise ibadet.bu şarkı tanrıdan kariyerine bi işaret.tövbe et ve yapma bi daha rap.daha dün annenizin kollarında yaşarken.çiçekli bahçenizin yollarında koşarken.şimdi eksi okuldan bi katil peşinizde.artık kaçman gereksiz şekerin elimizde.beni ara
Tepki,siyah bere siyah cap.siyah stil siyah rap.siyah bizim silah çek.bütün hepsi siyah renk.geceleri kararıyo sebebini biliyosun hepimizi içine çekiyo bu siyah.siyah .telefonum  makineli  ki oda bi .siyah .arabamız  big  ki oda bi .siyah .bu yüzden dark sidedayım.bi kawasakiyle asfalttayım.maça değil mi .siyah değilse .kaçak viski .bana aksini boş yere .bu seni aşar nedeni içimize işledi bu karanlığın her tonu deli dolu.yaşıyoruz bu gezegenin her adımını adımızı yazmaya yemin ediyoruz emin olun
Tepki,verse .bu şehri seviyorum  etnik bi kökeni var.yolları uzun uzun olur ama köşesi dar.takılır çingeneler  voltada kabadayılar.eğer konu müzikse bizleri aramalılar.bu şehrin rapçileri havalı .hatırla tvde bağırıyodum ben  bi araba parayı .şimdi keyfim yerinde  açıyorken arayı.bütün şehir bu müzikle sallıyoken kafayı .90 model faça merco  şeklimiz tam .durumlar bu ara terso .ne zaman düzeldi ki  oynamaya i̇tti bu düzen bizi.sanki şehir kovboy oldu  biz onun üzengisi .i̇şleri değiştirme vakti.kolon  teyp ne bulursan yakala gel kanki .zaten üstümüz başımız janti.gereken elektrik  bir de güçlü amfi . dertlerim bırakmıyo yakamı.yine de sallıyoruz kafayı 
Tepki,i̇nsan yalnız aslında bir başına karanlıkta.i̇nsan arsız aslında geçmişe bir bakınca değersiz.yaşanan o anlar.tüm o boşluğa koşanlar.tüm yalanlar geride kalanlar.unutamadan hep geriye bakanlar.tep.bugün de farklı değil dünden.kalemime yaşadığım yalnızlık gündem.bahar her zaman güzden.i̇yi gelir ama yine de kadere küsmem.hatırla bir gün yine güneş doğacak.islak bedeni seni kumsalda sarıcak.bi gün yine senin olacak.ya da ya da ya da bir gün yine ölüp solucak.hayat bu kısaca karışık.ama bedenin bu paradoksa alışık.kısaca alışır onun izlerinden yavaş yavaş arınır.küllerinden doğarsın yeniden.bir yanın eksik.aynadaki yüzün artık eski.söylesene şimdı adı neydi.kim bilir kaçı seni öyle sevdi
Tepki,menekşe menekşe.menekşe menekşe.menekşe menekşe.mazin tabutta unutma.geçmiş kelepçe kelepçe.derdin nasıl bi gavursa.her gün peşinde peşinde.aşkın dudaklara düşse.kalbin deşilse deşilse.hayallerin yeşilköyde.yollar menekşe menekşe.sıkıldım bütün kurallarından.sikik duvarlarından bitik dumanlarından.17de gömdüm pederi.bi de bizim keremi.kaçıp tuzaklarından.i̇nat ölmüyorum bunu duymadan.burjuva dudaklarından.i̇zliyorum hayatını yeşil ovanın.florya manzaralı duraklarından.i̇stemedim buralarda doğmak.çalan her kapıya korkmak.mahkemem oluyo borçlar.hakimler vuruyo tokmak.karım suçlarıma ortak.oğlum kaygılara doğcak.her yaşıma yeni dosya .yaşa diyo böyle yok ya.tep başka modda.yüzükler hep fotokopi orji ya da kopya.basıyorum asfaltlara tarçın rengi botla.yapıyorum omletimi en fiyaka otla.i̇nanmazsan kokla.i̇çimdeki ölü rapçi bi an önce hortlar.muhasebeci al şunu geçmişimi topla.napayım senin kafan benimkinden boksa.bize sorun olan her bir kopça bir gün kopacak
Tepki,tattım küçük yaşımda ghettoyu.doldururdum yıllar önce annemin evinde onca demoyu.i̇stediklerim vardı olmalıydı bi yolu.şimdi mercedeste gururlandırırız vioyu.eşref paşa lisesinde hayal kuran bir çocuk.çekmece  bakırköy hattı kaçak tren yolculuk.breakdance sokaklar cepte yok ki bi kuruş.şimdi kanatlarım gökyüzüne dokunur.hayal ederdim koskoca bi stüdyo.gözlerim doluydu çocukken hep çünkü hüzün çok.on yedimde babam yok dedim artık zaman yok.borç içinde yanlışlara düştüm evet yalan yok.on sekizde ayrıldım evimden tertemiz çocukluğumdan.bi parça vermedim o lanet hayallerimden.taksim bakırköy ödenmeyen kiralar.hiphop sayesinde hayatım değişti bi anda.rüyalar rüyalar bir bir gerçek oldular.kaygılar korkular uykusuz gecelerim son buldular.rüyalar rüyalar bir bir gerçek oldular.kaygılar korkular uykusuz gecelerim son buldular.hani hayaller karın doyurmuyodu ya.diploması olmayan adamdan sayılmıyodu ya.şimdi yok satarız inan karaborsada.merdiven dayadık çekmeceden yıldızlara.gökyüzünde v yeryüzünde biz hedef bir.artık rüyalarım da o kadar uzak değil.hayal fabrikası gibi işler mob.seni sen yapan düşlerin emin ol ki ciron değil.kovaladığım şey para değil rüya.çok bilmiş züppelere göre pişman olucaktım güya.bi dilek tuttum gerçek oldu her şey o an.bi kelebeğim artık yırtılıyo kozam
Tepki,ya .sensizlikten her şey sensizlikten.doğmaz artık güneş.kalk her gün güreş.bulmaz mı düşeş.hileli zar.sensizlikten her şey sensizlikten.doğmaz artık güneş.kalk her gün güreş.bulmaz mı düşeş.hileli zar.çek çek çek mikrofonu suç ortağı gibi .ben mi onun o mu benim sahibim .bu denklemi yaşadı tüm mcler .peki hangileri sahici .tüm bu sokaklara hakimim.çünkü geçmişim yeraltının en dibi .devirdik bütün pezevenkleri.ve 18dе gömdük kelebeklеri.şimdi iş güç yok.yol paranı kurtarıp sahnelere koş.bi noktası ışık voice.ses bom bok .yüz kişiyiz .yine de bugün o günlerden boş
Tepki,simsiyah bi gece üstümde bile bile.melekler cevap verdi her bi dileğime.son kez vortex.son kez.sabahın 4ündeyim.200km hız.işıklar akıyo öyle.kalabalığın sesinide kıs.gecelik artık aşklar.çekemem hiç bu akşam.olamam ait asla.altımda yalnız asfalt.son gecenmiş gibi sür.son sefermiş gibi.son gecenmiş gibi gül.ölmedik daha moruk.simsiyah bi gece üstümde bile bile.melekler cevap verdi her bi dileğime.koşucaz son kez.sonrası meçhul boşluk vortex.i̇neriz döne döne.simsiyah bi gece üstümde bile bile.melekler cevap verdi her bi dileğime.koşucaz son kez.sonrasıa meçhul boşluk vortex.i̇neriz döne döne
Tepki,kaldım kanlar içinde.bi arabanın ön koltuğunda.biçok şey kaldı içimde.ölsem de gözlerim kapanmaz.kaç kurşun kaldı içimde.çığlık atmasa ya köşedeki teyze.hayatım gözlerimde dönse.o da düşük puan alırdı ya hadi neyse.kararsızca düşündü biri.önce hangisi ambulans mı polis mi.yüzüm gözüm dövme elimde silah.bence de karar zor işti.yeni ceket delindi zararım bikaç bin.bikaç genç telefonla çekiyo tedirgin.henüz yanmıyo canım sebep adrenalin.çenem çalışmıyor denedim a de bakim.üst binadan bağırıyo biri.“kaçanlar maskeliydi saydım üç kişi”.dikkatli gеzdim onca gün.tahminim vardı emin değildim.kapım açıldı bi anda sordu i̇yi misin.kanlar içindeyim moruk sеnce iyi miyim.bence tam tersiyim her iyilik fiilinin.garip bi huzur var ve oldukça sakinim.vücut ısım düştü her yanım sırılsıklam.aklım saatimde sıçtım kırıldıysa.çekti aldı iki kişi yere yatırdı.silah kaldı kaldırımda canım sıkıldı.nefes almalısın dedi nefes almalı.kaç kurşun yedim o da saymadı.ambulans yolda tüm cadde meraklı.bunca kalabalık varken nasıl yanaşsın.son nefeslerim bi başıma.geçen ay girmiştim daha otuz beş yaşıma.etrafta yabancılar fısıltılar.uzağım dumanıma ve silahıma.olmasaydı kafam yüksek uyanırdım belki.camlar kurşunlara dayanmazdı gerçi.hayalim zirvelerdi durumsa tersi.diker mi şu ceketi üst sınıf bi terzi.sirenler yükselirken acımla tanıştım.bi de annem duyarsa olmıcak hiç hayırlı.sıkı kadın gerçi baya da sabırlı.düşün o omuzlarına nasıl yükler taşıttı.ya bugün son günün gibi iç.bugün son günün gibi gez.bugün son günün olacaksa.bitir krallar gibi filmi
Tepki,ölmedim ölemem.son günü görücem hayalim var.gece gündüz zorladım yolları.sormadım onlara çünkü hayalim var.farlar .gece yarısında parlar .bari bu gece bizim olsun .oyun sonum olucaksa .çok dost  çok risk .fight club  crossfit .eskilerde dinlenirdik on bin .şimdi alır sadece bi kombin .sokağım hapishane gibi bro .burda çürüyodu gençliğim .kurtarıcı meleğim .dedi bana henüz geç değil .kovaladık gece gündüz kavga.başı sonu problem o yolları geçtik.boş cebimiz buna rağmen yine freshtik.şimdi markalara olur adımız prestij .tabutlara çivileri çaktık .i̇nan bütün hesapları kestik .87den bu güne yaşadım .ama şimdi doğdu tepki
Tepki,sonuç ortada düşüyorum hep yollara.bazen soruyorum ya olmasam.boş yere kendimi yormasam.ya da lanet soruları sormasam.tamam.düşüyorum en dibe belki de dönüyorum kendi rengime.fazlayım bu gezegene inan davul bile dengi dengine.kendimi alıyorum sessize benzerim cenette bir evsize.senin gibi değilim haklısın bakaraım cehennemden keyfime.bugün sararken her yanı alevler dilimde birkaç bahane.baksana kalkıyor kadehler yavaşça dönüyorum hayale.hadi nefesini tut.tüm dünya sana gülerken.hadi nefesini tut.son hızda yere düşerken.hadi nefesini tut.tüm dünya sana gülerken.hadi nefesini tut.son hızda yere düşerken.babamın yegane nasihatıdır i̇stanbul gibi asil kal.kalbim hep yorgun ama güçlü emektar bir cadillac.ve simsiyah buna olmuyo itiraz mühimdir ilk intiba.güç ve itibar kimileri dimdik yaşar ama herkesin ilki var.hatalar yalanlar çalıyor çok kez zamandan.üç yanlış bir doğru geride ortada kalanlar.önemi yoktur çoğu zaman kaderini yaşıyor tüm insanlar.çanlar çalarken ardından eskiyi arıyorum enkazda
Tepki,vicdan vicdan.terazisiz olmaz dikişleri tutmaz.terzi olsa hicran hicran.tedavisi zordur telafisi olmaz.atmıyosa aşkım nabzında.dokunma kokun var yastığımda.bu ev bana zindan zindan.sanki yerin hindistan .mahalle etti ihbar gece gündüz iç sıç.sokaklarda bağır çağır paket olup imzalarla idrar.olamadık doktor ahçı ya da mimar.“paran yok” diyodu şimdi milyon oldu milyar.yani anlayacağın samanlık olmuyodu seyran.eğer yoksa şeklin mecnun olma uzar leylan.önce yaptık lay low şimdi bizde meydan.döner sanmıyodun döndü rap’çilere devran.vicdan vicdan.terazisiz olmaz dikişleri tutmaz.terzi olsa hicran hicran.tedavisi zordur telafisi olmaz.atmıyosa aşkım nabzında.dokunma kokun var yastığımda.bu ev bana zindan zindan.sanki yerin hindistan
Tepki,denedim denedim denedim denedim.denedim denedim denedim denedim.kopucak ellerimiz bu kalıcak tanrının yanına.bu kaçıncı denememiz yine çıkamıyoruz yarına.denedim denedim denedim denedim.denedim denedim denedim denedim.kopucak ellerimiz bu kalıcak tanrının yanına.bu kaçıncı denememiz yine çıkamıyoruz yarına.bu benim gökyüzüm olamaz.ne güneş ne bulut ne umut var.bu benim gökyüzüm olamaz.ne sema ne de aile huzur var.gitgide daha derine.düşüyoruz en derine.kendimi bırakırım ellerine.koymasan el yerine.bikaç kelime takılır dudağıma nefes alamam.büyüyo yaralar alışırım buna da bu aralar.kaç sene kaç acı kaç anı var.hepsini koymuşuz çantamıza.yüreğim taş oluyo iyice.hiçbi şey kalmadı diycek.yine bu şehir bize kalıcak.kaç dize daha yazılır ki bu şiire
Tepki,çocuktum anlamazdım of kapıldım boş umutlara .koşardım korkmadan süratle sivri korkuluklara.ya ya.bütün barış güvercinleri bi kurşun sesine uçar .tabii mahallede kalamazdın .numaran kayıtlı inan.böyle olmasaydı aramazdım.karıştı hesapları boş ver.ben ekside sen hep alacaklı.sen güneşimdin ben aydım.kaldım yine yapayalnız.çek vur bi kaldı bu.i̇çimde bu ateşler boynumda buz.süzülüyo melekler aynı kafam gibi.dönüyo her şey kayıyoruz sanki everestin zirvesinden.cehennemin derinlerine.sen zirvede kal benim yerime .takılma kafam iyi gibiyken benim dediklerime.zaten güzel her şey kalır geride .çocuktum anlamazdım of kapıldım boş umutlara .koşardım korkmadan süratle sivri korkuluklara .çocuktum anlamazdım of kapıldım boş umutlara.koşardım korkmadan süratle sivri korkuluklara ya
Tepki,kimsesiz şampiyon yumruklarını sık.bi kum torban olmasa da duvarlarını yık.o gecelerce hayallerine sarılıp.i̇nancı ailesi dostları belki de kadını.kimsesiz şampiyon hedefini düşün.elinde bi o kaldı lütfen artık hedefi düşün.biliyorum kalmadı gecesi günü.soğuğu sıcağı acısı ya da baharı güzü.kimsesiz şampiyon lütfen devam et.bak sokaklar dolu canlı cenaze.hep aynı terane.hedefinle aranda kaldı inan bana az bi mesafe.kimsesiz şampiyon hayat bizlere yarım onlara tam pansiyon.umrunda değil istersin daha da tansiyon.ama bu sokaklardan çıkmalı bi şampiyon.hiç kimse duymasa da hiç bi kurala uymasa da.kimse izini bulmasa da.ruhu ateşten kalbi koskocaman.ona mesken oluyo bütün boş odalar.kimsesiz şampiyon kimsesiz şampiyon.kimsesiz şampiyon kimsesiz şampiyon
